"Id";"Name";"Resources";"Start";"End";"Effort";"Duration";"Completion"
"BE_SC_API";"BE скоркарты (включая шаблоны) - БД + API";"Backend Dev 2 (B2)";"2026-04-17";"2026-04-30";9.0;13.0;"0%"
"BE_DEP_LC";"BE ЖЦ внедрений";"Backend Dev 3 (B3)";"2026-04-19";"2026-04-23";4.0;4.0;"0%"
"AN_FE_DEP_LIST";"AN список внедрений (FE)";"Analyst 2 (A2)";"2026-04-20";"2026-04-21";2.0;1.4;"0%"
"AN_FE_DEP_FORM";"AN форма внедрения (создание/редактирование) (FE)";"Analyst 1 (A1)";"2026-04-20";"2026-04-21";2.0;1.4;"0%"
"AN_SCD_BE";"AN детальная скоркарты (BE)";"Analyst 2 (A2)";"2026-04-21";"2026-04-23";2.0;2.0;"0%"
"AN_SCD_FE";"AN детальная скоркарты (FE)";"Analyst 1 (A1)";"2026-04-24";"2026-04-27";2.0;3.4;"0%"
"AN_SCF_BE";"AN форма скоркарты (BE)";"Analyst 2 (A2)";"2026-04-24";"2026-04-27";2.0;3.4;"0%"
"AN_SCF_FE";"AN форма скоркарты (FE)";"Analyst 1 (A1)";"2026-04-28";"2026-04-29";2.0;1.4;"0%"
"AN_NOT";"AN уведомления: шаблоны/триггеры/получатели";"Analyst 2 (A2)";"2026-04-28";"2026-04-29";2.0;1.4;"0%"
"BE_NOT";"BE уведомления";"Backend Dev 3 (B3)";"2026-04-29";"2026-05-03";1.0;4.0;"0%"
"AN_TRACE_BE";"AN Trace (BE): модель связей/запросы/производительность";"Analyst 1 (A1)";"2026-04-30";"2026-05-04";2.0;4.4;"0%"
"BE_STAT_SIM";"BE статусной модели симуляции";"Backend Dev 3 (B3)";"2026-05-03";"2026-05-16";9.0;13.0;"0%"
"BE_TRACE";"BE Trace - БД + логика + API";"Backend Dev 2 (B2)";"2026-05-05";"2026-05-07";3.0;2.4;"0%"
"AN_TRACE_FE";"AN Trace (FE): виджет блока связей";"Analyst 2 (A2)";"2026-05-05";"2026-05-06";2.0;1.4;"0%"
"BE_AP_PAGE";"BE страница ""Согласования"" - API, логика";"Backend Dev 1 (B1)";"2026-05-07";"2026-05-13";4.0;6.4;"0%"
"BE_RISK_TABLE";"BE табличных риск-параметров";"Backend Dev 2 (B2)";"2026-05-08";"2026-05-19";7.0;11.4;"0%"
"FE_DEP_LIST";"FE список внедрений";"Frontend Dev 1 (F1)";"2026-05-12";"2026-05-20";7.0;8.4;"0%"
"BE_SCF";"BE форма создания/редактирования скоркарты";"Backend Dev 1 (B1)";"2026-05-13";"2026-05-20";5.0;7.0;"0%"
"BE_PILOT_LC_AP";"BE ЖЦ пилота - согласование/утверждение";"Backend Dev 2 (B2)";"2026-05-20";"2026-05-28";7.0;8.4;"0%"
"BE_AI_CHAT";"BE чата AI - интеграция";"Backend Dev 1 (B1)";"2026-05-20";"2026-05-27";5.0;7.0;"0%"
"FE_DEP_FORM";"FE форма внедрения (создание/редактирование)";"Frontend Dev 1 (F1)";"2026-05-21";"2026-05-29";7.0;8.4;"0%"
"QA_AP";"QA Согласования + Пакеты";"QA (Q1)";"2026-05-21";"2026-05-25";2.0;4.0;"0%"
"FE_SCF";"FE форма создания/редактирования скоркарты";"Frontend Dev 2 (100% from 2026-05-01) (F2_100)";"2026-05-22";"2026-06-09";13.0;18.4;"0%"
"BE_SIM_SNAP";"BE симуляции снепшотов";"Backend Dev 1 (B1)";"2026-05-28";"2026-06-16";13.0;19.4;"0%"
"FE_SCD";"FE детальная скоркарты";"Frontend Dev 1 (F1)";"2026-06-01";"2026-06-18";13.0;17.4;"0%"
"FE_RISK_TABLE";"FE табличных риск-параметров";"Frontend Dev 2 (100% from 2026-05-01) (F2_100)";"2026-06-10";"2026-06-29";13.0;19.4;"0%"
"QA_SC";"QA Скоркарты (деталка+форма)";"QA (Q1)";"2026-06-18";"2026-06-22";2.0;4.0;"0%"
"FE_TRACE";"FE Trace - пилоты/симуляции/внедрения: блок связи";"Frontend Dev 1 (F1)";"2026-06-19";"2026-06-24";4.0;5.4;"0%"
"F1_NON_MVP_SEQ";"F1 non-MVP sequencing";"";"2026-06-24";"2026-06-24";0.0;0.0;"0%"
"QA_TRACE";"QA Trace (блок связей)";"QA (Q1)";"2026-06-25";"2026-06-26";2.0;1.4;"0%"
"FE_AI_CHAT_UI";"FE UI для чата с AI агентом";"Frontend Dev 1 (F1)";"2026-06-25";"2026-06-30";4.0;5.4;"0%"
"FE_STAT_SIM";"FE статусной модели симуляции";"Frontend Dev 1 (F1)";"2026-07-01";"2026-07-06";4.0;5.4;"0%"
"FE_SIM_SNAP";"FE симуляции снепшотов";"Frontend Dev 1 (F1)";"2026-07-06";"2026-07-19";9.0;13.0;"0%"
"QA_REG";"QA Регрессия + E2E smoke";"QA (Q1)";"2026-07-08";"2026-07-16";7.0;8.4;"0%"
"MVP_DONE";"Milestone: MVP завершен";"";"2026-07-16";"2026-07-16";0.0;0.0;"0%"
"QA_AI_CHAT";"QA AI чат";"QA (Q1)";"2026-07-17";"2026-07-20";2.0;3.4;"0%"
"QA_RISK_TABLE";"QA Табличные риск-параметры";"QA (Q1)";"2026-07-20";"2026-07-23";3.0;3.0;"0%"
"QA_STAT_SIM";"QA Статусная модель симуляции";"QA (Q1)";"2026-07-24";"2026-07-27";2.0;3.4;"0%"
"QA_SIM_SNAP";"QA Симуляция снепшотов";"QA (Q1)";"2026-07-27";"2026-07-30";3.0;3.0;"0%"
"QA_ALL_REG";"QA All: smoke/regression";"QA (Q1)";"2026-07-30";"2026-08-02";1.0;3.0;"0%"
"ALL_DONE";"ALL DONE";"";"2026-08-02";"2026-08-02";0.0;0.0;"0%"
