"Id";"Name";"Resources";"Start";"End";"Effort";"Duration";"Completion"
"FE_PKG_PAGE";"FE страница ""Пакеты""";"Frontend Dev 2 (F2)";"2026-04-22";"2026-05-02";7.0;10.0;"0%"
"RSCON_2339";"RSCON-2339 FE Удаление блока метрик + новая вкладка для скоркарт";"";"2026-04-22";"2026-04-23";0.0;1.0;"0%"
"RSCON_2341";"RSCON-2341 FE Прикрепление существующей скоркарты";"";"2026-04-23";"2026-04-27";0.0;4.0;"0%"
"BE_STAT_SIM";"BE статусной модели симуляции";"Backend Dev 3 (B3)";"2026-04-24";"2026-05-04";5.0;10.0;"0%"
"BE_TRACE";"BE Trace - БД + логика + API";"Backend Dev 2 (B2)";"2026-04-29";"2026-05-01";2.0;2.0;"0%"
"BE_AP_CORE";"BE процесс согласования и утверждения - БД+логика";"Backend Dev 1 (B1)";"2026-05-04";"2026-05-14";7.0;10.0;"0%"
"FE_TRACE";"FE Trace - пилоты/симуляции/внедрения: блок связи";"Frontend Dev 1 (F1)";"2026-05-12";"2026-05-15";3.0;3.0;"0%"
"FE_STAT_SIM";"FE статусной модели симуляции";"Frontend Dev 1 (F1)";"2026-05-15";"2026-05-18";1.0;3.0;"0%"
"BE_PILOT_LC_AP";"BE ЖЦ пилота - согласование/утверждение";"Backend Dev 2 (B2)";"2026-05-19";"2026-05-24";4.0;5.0;"0%"
"BE_AP_PAGE";"BE страница ""Согласования"" - API, логика";"Backend Dev 1 (B1)";"2026-05-19";"2026-05-22";3.0;3.0;"0%"
"FE_AP_PAGE";"FE страница ""Согласования""";"Frontend Dev 2 (F2)";"2026-05-22";"2026-06-01";6.0;10.0;"0%"
"BE_SIM_SNAP";"BE симуляции снепшотов";"Backend Dev 1 (B1)";"2026-05-22";"2026-06-01";6.0;10.0;"0%"
"QA_SETUP";"QA подготовка (тест-план, тестовые данные, стенд)";"QA (Q1)";"2026-06-05";"2026-06-07";1.0;2.0;"0%"
"FE_SIM_SNAP";"FE симуляции снепшотов";"Frontend Dev 1 (F1)";"2026-06-05";"2026-06-15";5.0;10.0;"0%"
"BE_AI_CHAT";"BE чата AI - интеграция";"Backend Dev 1 (B1)";"2026-06-05";"2026-06-10";3.0;5.0;"0%"
"BE_RISK_TABLE";"BE табличных риск-параметров";"Backend Dev 2 (B2)";"2026-06-08";"2026-06-13";4.0;5.0;"0%"
"QA_ART";"QA Артефакты";"QA (Q1)";"2026-06-09";"2026-06-11";2.0;2.0;"0%"
"QA_SC";"QA Скоркарты (деталка+форма)";"QA (Q1)";"2026-06-11";"2026-06-14";1.0;3.0;"0%"
"QA_AP";"QA Согласования + Пакеты";"QA (Q1)";"2026-06-16";"2026-06-19";3.0;3.0;"0%"
"FE_RISK_TABLE";"FE табличных риск-параметров";"Frontend Dev 2 (F2)";"2026-06-16";"2026-06-26";8.0;10.0;"0%"
"QA_TRACE";"QA Trace (блок связей)";"QA (Q1)";"2026-06-19";"2026-06-20";1.0;1.0;"0%"
"QA_REG";"QA Регрессия + E2E smoke";"QA (Q1)";"2026-06-22";"2026-06-27";5.0;5.0;"0%"
"FE_AI_CHAT_UI";"FE UI для чата с AI агентом";"Frontend Dev 1 (F1)";"2026-06-23";"2026-06-26";3.0;3.0;"0%"
"MVP_DONE";"Milestone: MVP завершен";"";"2026-06-27";"2026-06-27";0.0;0.0;"0%"
"QA_STAT_SIM";"QA Статусная модель симуляции";"QA (Q1)";"2026-06-30";"2026-07-01";1.0;1.0;"0%"
"QA_SIM_SNAP";"QA Симуляция снепшотов";"QA (Q1)";"2026-07-01";"2026-07-03";2.0;2.0;"0%"
"QA_AI_CHAT";"QA AI чат";"QA (Q1)";"2026-07-03";"2026-07-04";1.0;1.0;"0%"
"QA_RISK_TABLE";"QA Табличные риск-параметры";"QA (Q1)";"2026-07-06";"2026-07-08";2.0;2.0;"0%"
"QA_ALL_REG";"QA All: smoke/regression";"QA (Q1)";"2026-07-08";"2026-07-10";2.0;2.0;"0%"
"ALL_DONE";"ALL DONE";"";"2026-07-10";"2026-07-10";0.0;0.0;"0%"
