"Id";"Name";"Resources";"Start";"End";"Effort";"Duration";"Completion"
"AN_FE_DEP_FORM";"AN форма внедрения (создание/редактирование) (FE)";"Analyst 1 (A1)";"2026-04-08";"2026-04-09";1.0;1.0;"0%"
"BE_SC_API";"BE скоркарты (включая шаблоны) - БД + API";"Backend Dev 2 (B2)";"2026-04-08";"2026-04-18";7.0;10.0;"0%"
"AN_SCD_BE";"AN детальная скоркарты (BE)";"Analyst 2 (A2)";"2026-04-09";"2026-04-10";1.0;1.0;"0%"
"BE_DEP_LC";"BE ЖЦ внедрений";"Backend Dev 3 (B3)";"2026-04-10";"2026-04-13";1.0;3.0;"0%"
"AN_SCD_FE";"AN детальная скоркарты (FE)";"Analyst 1 (A1)";"2026-04-13";"2026-04-13";1.0;0.3;"0%"
"AN_SCF_BE";"AN форма скоркарты (BE)";"Analyst 2 (A2)";"2026-04-13";"2026-04-13";1.0;0.3;"0%"
"AN_SCF_FE";"AN форма скоркарты (FE)";"Analyst 1 (A1)";"2026-04-14";"2026-04-14";1.0;0.3;"0%"
"AN_NOT";"AN уведомления: шаблоны/триггеры/получатели";"Analyst 2 (A2)";"2026-04-14";"2026-04-14";1.0;0.3;"0%"
"BE_NOT";"BE уведомления";"Backend Dev 3 (B3)";"2026-04-14";"2026-04-17";3.0;3.0;"0%"
"AN_TRACE_BE";"AN Trace (BE): модель связей/запросы/производительность";"Analyst 1 (A1)";"2026-04-15";"2026-04-15";1.0;0.3;"0%"
"AN_TRACE_FE";"AN Trace (FE): виджет блока связей";"Analyst 2 (A2)";"2026-04-16";"2026-04-16";1.0;0.3;"0%"
"BE_SIM_SNAP";"BE симуляции снепшотов";"Backend Dev 1 (B1)";"2026-04-16";"2026-04-29";10.0;13.3;"0%"
"FE_DEP_LIST";"FE список внедрений";"Frontend Dev 1 (F1)";"2026-04-17";"2026-04-22";3.0;5.0;"0%"
"BE_STAT_SIM";"BE статусной модели симуляции";"Backend Dev 3 (B3)";"2026-04-17";"2026-04-27";6.0;10.0;"0%"
"BE_TRACE";"BE Trace - БД + логика + API";"Backend Dev 2 (B2)";"2026-04-18";"2026-04-20";1.0;2.0;"0%"
"BE_PILOT_LC_AP";"BE ЖЦ пилота - согласование/утверждение";"Backend Dev 2 (B2)";"2026-04-21";"2026-04-27";5.0;6.3;"0%"
"FE_DEP_FORM";"FE форма внедрения (создание/редактирование)";"Frontend Dev 1 (F1)";"2026-04-22";"2026-04-27";3.0;5.0;"0%"
"FE_TRACE";"FE Trace - пилоты/симуляции/внедрения: блок связи";"Frontend Dev 1 (F1)";"2026-04-27";"2026-04-29";3.0;2.3;"0%"
"BE_RISK_TABLE";"BE табличных риск-параметров";"Backend Dev 2 (B2)";"2026-04-28";"2026-05-05";5.0;7.3;"0%"
"BE_AP_PAGE";"BE страница ""Согласования"" - API, логика";"Backend Dev 1 (B1)";"2026-04-30";"2026-05-05";3.0;5.3;"0%"
"FE_AI_CHAT_UI";"FE UI для чата с AI агентом";"Frontend Dev 1 (F1)";"2026-04-30";"2026-05-05";3.0;5.3;"0%"
"BE_SCF";"BE форма создания/редактирования скоркарты";"Backend Dev 1 (B1)";"2026-05-05";"2026-05-10";3.0;5.0;"0%"
"QA_AP";"QA Согласования + Пакеты";"QA (Q1)";"2026-05-05";"2026-05-08";3.0;3.0;"0%"
"FE_SCD";"FE детальная скоркарты";"Frontend Dev 1 (F1)";"2026-05-06";"2026-05-19";10.0;13.3;"0%"
"FE_SCF";"FE форма создания/редактирования скоркарты";"Frontend Dev 2 (100% from 2026-05-01) (F2_100)";"2026-05-10";"2026-05-20";8.0;10.0;"0%"
"FE_STAT_SIM";"FE статусной модели симуляции";"Frontend Dev 1 (F1)";"2026-05-20";"2026-05-22";3.0;2.3;"0%"
"QA_SC";"QA Скоркарты (деталка+форма)";"QA (Q1)";"2026-05-20";"2026-05-23";2.0;3.0;"0%"
"FE_RISK_TABLE";"FE табличных риск-параметров";"Frontend Dev 2 (100% from 2026-05-01) (F2_100)";"2026-05-20";"2026-05-30";7.0;10.0;"0%"
"FE_SIM_SNAP";"FE симуляции снепшотов";"Frontend Dev 1 (F1)";"2026-05-22";"2026-06-01";6.0;10.0;"0%"
"QA_TRACE";"QA Trace (блок связей)";"QA (Q1)";"2026-05-25";"2026-05-25";1.0;0.3;"0%"
"QA_REG";"QA Регрессия + E2E smoke";"QA (Q1)";"2026-05-25";"2026-05-30";4.0;5.0;"0%"
"MVP_DONE";"Milestone: MVP завершен";"";"2026-05-30";"2026-05-30";0.0;0.0;"0%"
